%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.names0,field.names1,field.names2,field.names3,field.names4,field.names5,field.names6
158697391276018030,11,158697391276018030,,-0.00757478232535,0.0296663356899,-0.913871890595,0.0169570542404,0.999170505645,0.0101227132522,0.0356130302811,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391306322055,12,158697391306322055,,-0.00758591702226,0.0296621393758,-0.913871853621,0.0169529039418,0.999170338325,0.0101322027762,0.0356169466957,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391336626080,13,158697391336626080,,-0.00757675093428,0.0296593053069,-0.913871821722,0.0169565138383,0.999171062221,0.0100894770112,0.0356071132167,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391366930105,14,158697391366930105,,-0.00755974422807,0.0296536093889,-0.913871433464,0.0169451601143,0.999168804713,0.0101709292799,0.0356524959267,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391397234130,15,158697391397234130,,-0.00757382179209,0.0296644130028,-0.91387130294,0.0169575895163,0.999170487138,0.0101105876674,0.0356166494642,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391427538155,16,158697391427538155,,-0.00758905243077,0.0296583528823,-0.913872465964,0.0169477317836,0.999169945219,0.0101665457099,0.0356206868597,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391457842180,17,158697391457842180,,-0.00758471949897,0.0296739640856,-0.913871086371,0.0169572781661,0.999169916749,0.0101116497616,0.035632614942,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391488146205,18,158697391488146205,,-0.00757331079038,0.0296657907211,-0.913871600056,0.0169475292578,0.999169560233,0.0102404124593,0.0356102786219,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391518450230,19,158697391518450230,,-0.0075758385981,0.029663862377,-0.913871741486,0.0169517439509,0.999169497054,0.0101704361708,0.0356302209165,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391548754255,20,158697391548754255,,-0.00757771747204,0.0296550136266,-0.913872834981,0.0169490190598,0.999169277864,0.0101933637386,0.0356308756611,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391579058280,21,158697391579058280,,-0.0075937823716,0.0296579144822,-0.91387303049,0.016956598239,0.99917195754,0.010097902312,0.035579385088,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391609362305,22,158697391609362305,,-0.00760055105223,0.0296448798378,-0.913872732419,0.016949999769,0.999172174765,0.0101026841642,0.0355751929193,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391639666330,23,158697391639666330,,-0.00758485920083,0.029676121529,-0.913872098951,0.0169620721495,0.999170564402,0.0101777126544,0.0355932274295,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697391669970355,24,158697391669970355,,-0.00759035959602,0.0296669632041,-0.913872139468,0.0169560165508,0.999170982524,0.0101397295254,0.0355953018415,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
