left_wam/base_yaw_joint_pos,left_wam/base_yaw_joint_vel,left_wam/base_yaw_joint_eff,left_wam/shoulder_pitch_joint_pos,left_wam/shoulder_pitch_joint_vel,left_wam/shoulder_pitch_joint_eff,left_wam/shoulder_yaw_joint_pos,left_wam/shoulder_yaw_joint_vel,left_wam/shoulder_yaw_joint_eff,left_wam/elbow_pitch_joint_pos,left_wam/elbow_pitch_joint_vel,left_wam/elbow_pitch_joint_eff,left_wam/wrist_yaw_joint_pos,left_wam/wrist_yaw_joint_vel,left_wam/wrist_yaw_joint_eff,left_wam/wrist_pitch_joint_pos,left_wam/wrist_pitch_joint_vel,left_wam/wrist_pitch_joint_eff,left_wam/palm_yaw_joint_pos,left_wam/palm_yaw_joint_vel,left_wam/palm_yaw_joint_eff,header_from_controller_start
1508285252.5347793,1.6110450608008482,-0.0035233566384650244,0.0,-1.6574323036823846,0.010864805881587723,0.0,0.01774310982389804,-0.018252851610486804,0.0,0.26614566669815876,-0.0002621841411930665,0.0,-0.3694995990613197,0.005877790639762425,0.0,-0.03186568337721202,-0.0063854116375712715,0.0,0.02938503049801028,-0.040841547433228584,0.0,170.662075052
1508285252.5547798,1.6110450608008482,-1.1274741243088066e-06,0.0,-1.6574323036823846,3.476737882108067e-06,0.0,0.01774310982389804,-0.0365286510792297,0.0,0.26614566669815876,-0.00541128167174611,0.0,-0.3694995990613197,-0.05849423722748556,0.0,-0.03186568337721202,-0.007355887422989127,0.0,0.029487775359891433,-0.00027613846666881865,0.0,170.682075445
1508285252.5747786,1.6110815841529407,0.014745149235713339,0.0,-1.657459453784825,-0.007833376166301788,0.0,0.017788721931414342,0.014317476822895126,0.0,0.26614566669815876,-0.008182580768970556,0.0,-0.3694995990613197,-0.0012845522935039796,0.0,-0.031707541027945485,-0.0012681880215669851,0.0,0.02938503049801028,-0.032540027933538336,0.0,170.702074378
1508285252.59478,1.6110450608008482,-0.0006716394567892987,0.0,-1.6574051535799441,0.010924551382258077,0.0,0.017788721931414564,0.018070004872153465,0.0,0.26614566669815876,-0.0057865962493368695,0.0,-0.3693414567120531,0.03157013097557033,0.0,-0.031865683377212045,-0.03157094785244899,0.0,0.029487775359891433,-1.0412808938732256e-05,0.0,170.722075797
1508285252.6147795,1.6110450608008482,-2.1492462617257536e-07,0.0,-1.657459453784825,-0.0021528203556749653,0.0,0.017788721931414342,0.0021749332758448842,0.0,0.26614566669815876,-0.0353816418412337,0.0,-0.3694995990613197,-0.030246172121668403,0.0,-0.03186568337721202,-0.03026637726690399,0.0,0.029487775359891433,-0.001637014481833243,0.0,170.742075124
1508285252.6347806,1.6110450608008482,0.0006987479362258479,0.0,-1.6574323036823846,0.010552840850941657,0.0,0.017834334038930866,0.01883286372109752,0.0,0.26614566669815876,0.0002617634609989614,0.0,-0.3694995990613197,-0.02558883126668749,0.0,-0.031707541027945485,0.025670625391338388,0.0,0.02938503049801028,-5.238446341866371e-07,0.0,170.762076403
1508285252.654785,1.6110815841529407,0.014483499195648356,0.0,-1.657459453784825,0.0013863492205525105,0.0,0.017788721931414342,-0.0037787992083181876,0.0,0.2662308878530413,-0.0013106811789508196,0.0,-0.36942052788668645,0.022809445242449253,0.0,-0.03178661220257875,-0.0379591075230447,0.0,0.02938503049801028,-0.0002631793314574556,0.0,170.78208067
1508285252.6747792,1.6110815841529407,0.011689123331284378,0.0,-1.6574323036823846,1.782095680793486e-05,0.0,0.01774310982389804,-3.0403080506460344e-05,0.0,0.26614566669815876,0.0010303436455587804,0.0,-0.3694995990613197,-0.03156531407457725,0.0,-0.03186568337721202,-0.03168597845124028,0.0,0.02938503049801028,-0.007826758584052337,0.0,170.802074911
1508285252.694781,1.6110450608008482,0.00047118971188677165,0.0,-1.657459453784825,-0.012490623301818184,0.0,0.017788721931414342,0.020984217286350988,0.0,0.2662308878530413,0.035113024819076,0.0,-0.3694995990613197,0.00019219122039774268,0.0,-0.031707541027945485,-0.00021243163400607527,0.0,0.029487775359891433,-2.504562746896745e-06,0.0,170.822076789
1508285252.7147806,1.6110450608008482,-0.00011669062882136513,0.0,-1.657459453784825,-0.010883441689077504,0.0,0.017788721931414342,0.010990037906894574,0.0,0.26614566669815876,0.006552730950767663,0.0,-0.3693414567120531,0.005057968523510613,0.0,-0.031865683377212045,-0.007586928511594577,0.0,0.029487775359891433,-0.0003286906340274115,0.0,170.842076411
1508285252.7347822,1.6110450608008482,-0.0005581416688531197,0.0,-1.657459453784825,-0.011308296602642076,0.0,0.017788721931414342,0.019285751629141708,0.0,0.2662308878530413,0.039593268881594645,0.0,-0.3694995990613197,-0.031462411181923354,0.0,-0.03186568337721202,-0.031364839323639586,0.0,0.029487775359891433,0.04107894438909054,0.0,170.862078049
1508285252.7547834,1.6110815841529407,-1.786053340329981e-07,0.0,-1.657459453784825,0.0021659604499502097,0.0,0.017788721931414342,-0.0036387162947309703,0.0,0.26614566669815876,6.741112283496943e-05,0.0,-0.36942052788668645,0.007574083831747724,0.0,-0.03178661220257875,0.007574115054745037,0.0,0.02938503049801028,-0.006552822176825688,0.0,170.882079207
